CODE;GROUP_CODE;NAME
3248;Transportation;3248 TAM AIRLINES
3353;Vehicle Rental;3353 Brooks Rent A Car
3393;Vehicle Rental;3393 National Car Rental
3396;Vehicle Rental;3396 Tilden Rent-A-Car
3434;Vehicle Rental;3434 USA Rent-A-Car
7995;Unique;7995 Casino
6050;Unique;6050 Quasi Cash, Fin Inst
7801;Unique;7801 Internet Gambling
5812;Restaurant;5812 Eating Places,Restaurants
7251;Retail Purchase;7251 Shoe Repair Shops
7261;Retail Purchase;7261 Funeral Service & Crematori
7392;Retail Purchase;7392 Management, Consulting
7534;Retail Purchase;7534 Tire Retreading & Repair Sh
7549;Retail Purchase;7549 Towing Services
7699;Retail Purchase;7699 Miscellaneous Repair Shops
7932;Retail Purchase;7932 Billiard And Pool Establish
7941;Retail Purchase;7941 Commercial Sports
5039;Retail Purchase;5039 Constuction Materials N-Els
5139;Retail Purchase;5139 Commercial Footwear
8031;Retail Purchase;8031 Osteopathic Physicians
8042;Retail Purchase;8042 Optometrists,opthamalogists
8111;Retail Purchase;8111 Legal Services,attorneys
8699;Retail Purchase;8699 Membership Organizations
9222;Retail Purchase;9222 Fines
9402;Retail Purchase;9402 Postal Services-Government 
5946;Retail Purchase;5946 Camera And Photographic Sup
5963;Retail Purchase;5963 Door-to-Door Sales
5251;Retail Purchase;5251 Hardware Stores
5261;Retail Purchase;5261 Nurseries,lawn & Garden
5271;Retail Purchase;5271 Mobile Home Dealers
5441;Retail Purchase;5441 Candy,nut,confectionary Sto
5451;Retail Purchase;5451 Dairy Products Stores
5533;Retail Purchase;5533 Automotive Parts,acces. Sto
5571;Retail Purchase;5571 Motorcycle Shops And Dealer
5599;Retail Purchase;5599 Miscellaneous Automotive De
5611;Retail Purchase;5611 Men's And Boys' Clothing
5651;Retail Purchase;5651 Family Clothing Stores
5697;Retail Purchase;5697 Tailors,seamstress,mending
5713;Retail Purchase;5713 Floor Covering,rugs,and Car
5718;Retail Purchase;5718 Fireplace,fireplace Screens
5733;Retail Purchase;5733 Music Stores-musical Instru
5921;Retail Purchase;5921 Package Stores - Beer, Liqu
5940;Retail Purchase;5940 Bicycle Shops-sales & Servi
1731;Retail Purchase;1731 Electrical Contractors
1740;Retail Purchase;1740 Masonry,Stonework,Tile Sett
1799;Retail Purchase;1799 Special Trade Contractors
4214;Retail Purchase;4214 Motor Freight Carriers
7033;Retail Purchase;7033 Trailer Parks & Campgrounds
7211;Retail Purchase;7211 Laundry Services-family & C
7800;Retail Purchase;7800 Government Owned Lottery
6533;Payment Services;6533 Payment Service Provider - 
3506;Hotel/Motel (Lodging);3506 Golden Tulip
3507;Hotel/Motel (Lodging);3507 Friendship Inns Int`l
3508;Hotel/Motel (Lodging);3508 Quality Int`l
3510;Hotel/Motel (Lodging);3510 Days Inns Of America
3512;Hotel/Motel (Lodging);3512 Intercontinental
3514;Hotel/Motel (Lodging);3514 Amerisuites
3517;Hotel/Motel (Lodging);3517 Americana Htls Corp.
3529;Hotel/Motel (Lodging);3529 CP(Canadian Pacific)
3533;Hotel/Motel (Lodging);3533 Hotel Ibis
3536;Hotel/Motel (Lodging);3536 AMFAC Hotels
3538;Hotel/Motel (Lodging);3538 Concorde Hotels
3542;Hotel/Motel (Lodging);3542 Royal Hotels
3562;Hotel/Motel (Lodging);3562 Comfort Hotels Int'l
3800;Hotel/Motel (Lodging);3800 Homestead Suites
3833;Hotel/Motel (Lodging);3833 CANAOPY
3744;Hotel/Motel (Lodging);3744 Carefree Resorts
3551;Hotel/Motel (Lodging);3551 Mirage Hotel And Casino
3582;Hotel/Motel (Lodging);3582 California Hotel And Casino
3682;Hotel/Motel (Lodging);3682 Sahara Hotel And Casino
3766;Hotel/Motel (Lodging);3766 Fremont Hotel And Casino
3768;Hotel/Motel (Lodging);3768 Silver Star Hotel And Casin
3769;Hotel/Motel (Lodging);3769 Stratosphere Hotel Casino
3614;Hotel/Motel (Lodging);3614 AMERICINN
3618;Hotel/Motel (Lodging);3618 GREAT WOLF
3836;Hotel/Motel (Lodging);3836 Hawthorne Suites by Wyndham
3776;Hotel/Motel (Lodging);3776 Nevele Grande Resort And Co
3779;Hotel/Motel (Lodging);3779 W Hotels
3796;Hotel/Motel (Lodging);3796 PEPPERMILL Hotel Casino
